0.004930,0.004930,0.018346
0.002532,0.002532,0.006125
0.002806,0.002806,0.007923
0.001626,0.001626,0.008291
0.001780,0.001780,0.005875
0.001650,0.001650,0.005621
0.002387,0.002387,0.010217
0.002038,0.002038,0.007858
0.002217,0.002217,0.009651
0.001877,0.001877,0.007826
0.003427,0.003427,0.011168
0.002532,0.002532,0.006125
0.002806,0.002806,0.007923
0.001626,0.001626,0.008291
0.001780,0.001780,0.005875
0.001650,0.001650,0.005621
0.002387,0.002387,0.010217
0.002038,0.002038,0.007858
0.002217,0.002217,0.009651
0.001877,0.001877,0.007826
0.003427,0.003427,0.011168
